Temperature,Pressure,FlowRate,Level,Risk
357.4507122951685,6.987232587538427,102.73012790070132,56.822517590875506,Low
347.9260354824322,7.783221993926723,119.37593022121833,50.560412929397586,Low
359.7153280715104,6.811370118500058,120.36033744088893,55.65910253518176,Low
372.84544784612035,7.53805770554144,129.45260691686812,48.94205342538997,Medium
346.48769937914994,5.159577999569322,92.66283273438347,85.09580539189415,Low
346.4879456457623,8.319940561059408,131.85134547694662,59.85934431585645,Low
373.68819223261085,8.001808213043336,65.9121673679445,52.263965248718364,Medium
361.51152093729365,6.7743670533977145,107.40230895272379,62.42039205079664,Low
342.9578842109757,8.988868502648607,110.23452315096911,56.02680834032478,Low
358.13840065378946,9.406355206439837,132.66653652142477,77.2209626906663,Medium
343.04873460781306,5.588660203446539,120.45261705353738,88.56099559427471,Low
343.0140536964461,6.855912832150679,91.88873892287427,61.90168283488234,Low
353.62943407349053,6.846286475319053,100.3001374836597,83.05166999861203,Low
321.30079633013304,6.590145348336703,123.97360019094813,68.29315367798097,Low
324.1262325123045,9.244212262897623,118.41865316270888,47.861783254711675,Medium
341.5656870613854,7.709260791840794,108.41751780728507,74.53113710406708,Low
334.80753319498365,7.603227738034084,110.38332420976042,65.67172485629101,Low
354.7137099889291,4.99420645338987,133.92335994318577,72.53032616260518,Low
336.3796388671818,8.95312704531384,109.6461485426157,84.48437062858325,Low
328.8154444799706,6.141112407719791,118.23817511941853,62.0217285328023,Low
371.9847315338233,8.089898945399492,163.39873176161086,85.05888116086778,Medium
346.61335549270194,8.416065406937287,91.52634726232154,77.53345071408275,Low
351.01292307031883,10.040987893757976,82.96314536850683,64.43024629389924,Medium
328.62877720679813,6.036769401321331,135.67179329597212,70.16110678289819,Low
341.83425913212227,3.470731766268762,106.42713877411794,56.279056625950574,Low
351.663838845648,8.275774317130542,113.6352494451476,89.17986498693871,Low
332.73509633866547,10.700766772266281,104.37687243737771,73.36755815251979,Medium
355.63547027518507,9.858419529409156,114.80399718464975,42.1923426248315,Medium
340.9904196512179,8.314489122911938,151.97076224192682,56.33109528740044,Low
